T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,1951469;-0,9266988;-0,3206415;-0,01833823;0,4102136;-0,4940737;-0,6513666;0,4041505;0,43843;-0,4395646;-0,596264;0,5089513;0,4653191;-0,3781504;-0,6018648;0,5274843;0,5216346;-0,2628644;-0,5079441;0,6330822;0,1129042;0,1364772;0,1423616;0,1334752;0,118411;0,1147651;0,1873059;go
0,1987658;-0,9248278;-0,323489;-0,02325293;0,4113728;-0,4926364;-0,6500004;0,4069172;0,4401535;-0,4377522;-0,5957382;0,5096414;0,4678552;-0,3744522;-0,6038146;0,5256475;0,522684;-0,2627926;-0,5052529;0,6343985;0,1129539;0,1364193;0,1423415;0,1334756;0,118451;0,1152209;0,187411;go
0,198247;-0,9239703;-0,325943;-0,02717406;0,4120495;-0,4921692;-0,6493008;0,4079135;0,441791;-0,4366771;-0,5956246;0,5092795;0,4693029;-0,3730531;-0,6045899;0,5244592;0,5230351;-0,2650982;-0,5014136;0,6361931;0,1130717;0,1363907;0,1423298;0,1334643;0,1184515;0,1158258;0,187851;go
0,1977658;-0,9233565;-0,3277296;-0,02991685;0,4125946;-0,4918088;-0,6488813;0,4084643;0,4430215;-0,4359021;-0,5955899;0,5089143;0,4703656;-0,3721118;-0,6051013;0,5235852;0,5233661;-0,2667471;-0,4987056;0,637359;0,1131541;0,1363714;0,1423213;0,1334561;0,1184486;0,1162505;0,1881662;go
0,1966179;-0,921711;-0,332869;-0,03144532;0,413119;-0,4888164;-0,6503779;0,4091454;0,4465825;-0,4306755;-0,5992507;0,505946;0,4743459;-0,365371;-0,6097494;0,5193321;0,5258653;-0,2641718;-0,4984221;0,6365958;0,1132474;0,1363505;0,1423184;0,1334675;0,1184677;0,116753;0,1885229;go
0,1954271;-0,9203115;-0,3373039;-0,03257987;0,4136499;-0,4861788;-0,6518455;0,4094162;0,4495578;-0,4262504;-0,6023811;0,5033346;0,4775575;-0,3598663;-0,6134706;0,5158381;0,5280517;-0,2620097;-0,4982495;0,6358143;0,1133247;0,1363362;0,142316;0,1334758;0,1184797;0,1171538;0,188825;go
0,1945074;-0,9191898;-0,3407993;-0,03336352;0,4141237;-0,4840298;-0,6530933;0,4094948;0,4517986;-0,4228224;-0,6047877;0,5013295;0,4799482;-0,355678;-0,6162467;0,5132086;0,5297953;-0,2602527;-0,4982331;0,6350981;0,1133801;0,1363255;0,1423132;0,1334798;0,1184875;0,1174414;0,1890439;go
0,1938457;-0,9183117;-0,3434815;-0,03388605;0,4145254;-0,4823262;-0,6541107;0,4094745;0,4534399;-0,4202367;-0,6065861;0,4998469;0,4816942;-0,3525536;-0,6182851;0,5112731;0,5311463;-0,2588493;-0,4983196;0,634475;0,1134184;0,1363184;0,1423117;0,1334829;0,1184929;0,1176394;0,1891947;go
0,1889881;-0,9166935;-0,3500075;-0,03809866;0,4162102;-0,4788096;-0,6590084;0,4040031;0,4571682;-0,41594;-0,6118401;0,4936019;0,4857919;-0,3478353;-0,6226591;0,5052846;0,5361222;-0,2558367;-0,500586;0,6297097;0,1135033;0,136341;0,1423138;0,1334871;0,1185183;0,1177736;0,189447;go
0,1784591;-0,9121305;-0,365584;-0,05018857;0,4222531;-0,4707911;-0,6680187;0,3921852;0,4631703;-0,4109085;-0,6182094;0,4841946;0,4937925;-0,3415593;-0,6288024;0,4940788;0,5468146;-0,2527908;-0,5035073;0,6193311;0,1137598;0,1363607;0,142313;0,1334731;0,1185216;0,1186086;0,1901392;go
