T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
-0,2512603;-0,6421726;-0,590843;-0,4187927;0,07623388;0,08693827;-0,1444769;-0,9827293;0,06161694;0,1800101;0,1757225;-0,9658787;-0,05728947;0,2499654;0,3147096;-0,9138889;-0,1512754;0,3185856;0,3321372;-0,8748167;0,1027624;0,09303981;0,07257709;0,05866896;0,0510501;0,02896172;0,07840862;up
0,02496374;-0,7225651;-0,4900275;-0,4869802;0,1357812;0,01088744;-0,9744251;-0,17872;0,1292657;0,2262971;-0,3989896;-0,8791401;-0,07540894;0,2854246;0,209914;-0,9320851;-0,1638764;0,3409841;0,1920972;-0,9055238;0,09134466;0,1327109;0,09774186;0,04821083;0,04502394;0,08159762;0,05951935;up
0,2883254;-0,6970086;-0,4821159;-0,4456589;0,1541872;-0,05277893;-0,9610293;0,223302;0,1796989;0,2440012;-0,6848905;-0,6626439;-0,08238432;0,3224493;-0,01073915;-0,9429337;-0,1724706;0,3580282;-0,04886338;-0,9163418;0,08921208;0,1334155;0,105047;0,04592288;0,04402566;0,09963206;0,05590083;up
0,3785691;-0,6709408;-0,4851603;-0,4136952;0,163871;-0,07631952;-0,9279401;0,3259584;0,1939218;0,247656;-0,7561107;-0,5738971;-0,08247571;0,3321371;-0,1046075;-0,9337775;-0,1733867;0,3588909;-0,1472478;-0,9052362;0,08891797;0,1334426;0,1060762;0,04562445;0,04394112;0,1018088;0,05537038;up
0,4388372;-0,6459838;-0,4993755;-0,3751678;0,167597;-0,08288588;-0,9056701;0,3805299;0,1941693;0,2454395;-0,8114929;-0,4934947;-0,08955095;0,3288949;-0,1761298;-0,9234647;-0,1789394;0,349673;-0,2289315;-0,8906739;0,08898404;0,1339993;0,107867;0,04547113;0,04443255;0,1006244;0,05524251;up
0,4834355;-0,6244324;-0,5088273;-0,3427376;0,1700829;-0,08838503;-0,8817278;0,4310643;0,1923001;0,2447286;-0,845156;-0,4345572;-0,09438392;0,3252267;-0,2329247;-0,9116281;-0,1832996;0,3408073;-0,2902877;-0,8752058;0,08894094;0,1340617;0,1084508;0,04536924;0,04466979;0,1003797;0,05512216;up
0,5167786;-0,6063146;-0,5149633;-0,3164417;0,1720616;-0,09248976;-0,8601834;0,4710894;0,1899117;0,2443841;-0,8671992;-0,390097;-0,0978024;0,3216617;-0,2771348;-0,9000915;-0,1866302;0,3329372;-0,3363865;-0,8609103;0,08893418;0,1340854;0,1086807;0,0453279;0,04481273;0,1003307;0,05506477;up
0,5418262;-0,5800354;-0,5349576;-0,2894892;0,1707156;-0,07842002;-0,8398889;0,5092086;0,1669211;0,2563902;-0,8707047;-0,3850649;-0,1163289;0,3097029;-0,3088594;-0,8917161;-0,2051159;0,3165579;-0,3660985;-0,8507004;0,08828106;0,133764;0,1064361;0,0448607;0,04446551;0,09971581;0,05513446;up
0,5594149;-0,5597826;-0,5492333;-0,2684052;0,1690578;-0,06743582;-0,8235157;0,5373025;0,1502527;0,2621844;-0,8792621;-0,3682142;-0,1303995;0,2999373;-0,3343632;-0,8838748;-0,2190616;0,3035284;-0,3902547;-0,8411801;0,08803758;0,133738;0,1057243;0,04465027;0,04435039;0,09941629;0,05520921;up
0,5721251;-0,5439892;-0,5597207;-0,2519163;0,1673913;-0,05887941;-0,8102538;0,5585716;0,1376631;0,2655861;-0,8873936;-0,3507787;-0,1411797;0,2920665;-0,3545853;-0,8769462;-0,2297204;0,2932182;-0,4093992;-0,8328528;0,08790363;0,1337261;0,1054587;0,04452996;0,04429769;0,09923654;0,05523825;up
0,5814651;-0,5316386;-0,5675651;-0,2390162;0,1658861;-0,05221563;-0,7995667;0,5748466;0,1279698;0,2678319;-0,8940115;-0,3356089;-0,1494795;0,2857802;-0,3704978;-0,8710436;-0,2379227;0,2850924;-0,4244001;-0,8258329;0,08782369;0,1337207;0,1053529;0,0444589;0,04427104;0,09913275;0,05524725;up
0,5859808;-0,5257866;-0,5729107;-0,2279222;0,1570155;-0,04590744;-0,7904116;0,590329;0,1464648;0,224267;-0,955848;-0,1208603;-0,1532163;0,2709413;-0,3842624;-0,8691709;-0,2456132;0,2688236;-0,4262598;-0,8280765;0,08719161;0,1329249;0,117917;0,04435541;0,04351453;0,09883317;0,05512144;up
0,5883175;-0,5220258;-0,5781881;-0,2169567;0,1496155;-0,04079539;-0,7839417;0,6011542;0,1472478;0,2041127;-0,9675578;-0,02209356;-0,1564364;0,2593151;-0,3940769;-0,8677483;-0,2508773;0,2564396;-0,4308806;-0,8280347;0,08717274;0,1329176;0,1227421;0,04438698;0,04330939;0,09903079;0,05523054;up
0,5783671;-0,5221033;-0,5910536;-0,2086994;0,1461544;-0,02818292;-0,7892893;0,5957072;0,1173029;0,2384267;-0,9494065;-0,1673924;-0,1687434;0,2524104;-0,3852487;-0,8714345;-0,2611582;0,2505658;-0,4287038;-0,827784;0,08737689;0,1328093;0,1145731;0,0436546;0,04311743;0,09797905;0,05589454;up
0,5719168;-0,5207081;-0,6000502;-0,2042405;0,1430965;-0,0187847;-0,790756;0,5948743;0,09886651;0,2528398;-0,9347957;-0,2290297;-0,1779583;0,247019;-0,3798878;-0,8734974;-0,2692435;0,2458811;-0,427057;-0,8274499;0,08751246;0,1328257;0,1107178;0,04326065;0,04304166;0,09767073;0,0562314;up
0,5674148;-0,5190027;-0,6066616;-0,2015902;0,140649;-0,01149483;-0,791143;0,5951291;0,08698766;0,2600814;-0,926569;-0,2574115;-0,1849985;0,2427905;-0,3764665;-0,8747008;-0,2756338;0,2421437;-0,4257412;-0,8271256;0,0875725;0,1328325;0,1088465;0,04302168;0,04299742;0,09756885;0,05639089;up
