T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,7031205;-0,5367829;-0,2384203;-0,4008015;0,1442231;0,4835438;0,08287483;-0,8593702;0,1582776;0,5289091;0,005473882;-0,8337706;0,03232703;0,5140694;-0,03965464;-0,8562216;-0,03644186;0,4932359;-0,09458071;-0,8639704;0,08925442;0,04687223;0,03730173;0,0323182;0,03403357;0,05509214;0,06870575;stop
0,7082892;-0,5343142;-0,222212;-0,4042978;0,1548461;0,4927773;0,07791242;-0,8527152;0,1719185;0,5371178;-0,008105218;-0,8257621;0,04267607;0,5240749;-0,05079436;-0,8490844;-0,03034225;0,5038955;-0,09850392;-0,857593;0,08932916;0,0468463;0,03790934;0,03280772;0,03391253;0,05533186;0,06830039;stop
0,711408;-0,5327057;-0,210183;-0,4073655;0,1627572;0,5002894;0,07463276;-0,8471427;0,1807307;0,5436482;-0,008457243;-0,8195802;0,04933282;0,5323974;-0,04949963;-0,8436047;-0,02561373;0,5135423;-0,09388998;-0,8525275;0,08918402;0,04712185;0,03841389;0,03290565;0,03368247;0,05494419;0,06833082;stop
0,7143279;-0,5315769;-0,1976833;-0,4099791;0,1706669;0,5076861;0,07318127;-0,841292;0,1898656;0,5499271;-0,008484334;-0,8133015;0,05670968;0,5403409;-0,04825258;-0,8381454;-0,01975256;0,5225284;-0,08963564;-0,847667;0,08904866;0,04731423;0,03882869;0,03298853;0,03348599;0,05467533;0,06834076;stop
0,7163795;-0,5308309;-0,1878678;-0,4119769;0,1767401;0,5134663;0,07262951;-0,8365645;0,196836;0,554848;-0,008021742;-0,8082914;0,06253719;0,5465184;-0,04712713;-0,8337781;-0,01495247;0,529477;-0,08654407;-0,8437657;0,08895468;0,04744411;0,03910639;0,03304464;0,03335107;0,05449347;0,06834587;stop
0,7178091;-0,5303493;-0,1802352;-0,4135152;0,1813712;0,5179584;0,07256711;-0,832801;0,2020965;0,558697;-0,007303596;-0,8043391;0,0670857;0,5512995;-0,0461449;-0,8303246;-0,01108645;0,5348246;-0,08430612;-0,8406738;0,08889;0,04753245;0,03928869;0,03308241;0,03326078;0,05436955;0,0683475;stop
0,7170127;-0,5259256;-0,1686386;-0,4252719;0,1754882;0,5333578;0,09022084;-0,8225532;0,2005102;0,5726067;0,006104767;-0,7949088;0,06680923;0,5656372;-0,0380685;-0,8210614;-0,01158898;0,5498574;-0,07531422;-0,8317754;0,08899745;0,04716631;0,03891095;0,03275874;0,0328774;0,05472108;0,06889031;stop
0,7165613;-0,5220934;-0,1594469;-0,4342065;0,1710042;0,5451094;0,10269;-0,8142902;0,1992818;0,5833105;0,01564738;-0,7872682;0,06661271;0,5767128;-0,03237131;-0,8135831;-0,01187664;0,5614239;-0,0691852;-0,8245457;0,08907148;0,04692187;0,03866489;0,03254288;0,03262518;0,05496379;0,06925825;stop
0,7100579;-0,5192842;-0,1516184;-0,4507481;0,1666158;0,5504357;0,1158057;-0,8098451;0,1957694;0,5886622;0,03157091;-0,7836804;0,06303515;0,5837697;-0,0195626;-0,8092324;-0,01501994;0,5685178;-0,05736983;-0,8205307;0,08907977;0,04698455;0,03841832;0,03240625;0,03267189;0,05510945;0,06897885;stop
0,7060952;-0,5188721;-0,1499931;-0,4579337;0,1638165;0,5529028;0,1210591;-0,807965;0,1923276;0,5917568;0,03923485;-0,7818533;0,06037085;0,5874346;-0,01336733;-0,8069059;-0,01678817;0,5724707;-0,05399778;-0,8179731;0,08914465;0,04703664;0,03829085;0,03238786;0,03280227;0,05508559;0,06889517;stop
0,7025452;-0,5180832;-0,1464773;-0,4653654;0,1617214;0,5561168;0,1271442;-0,8052422;0,1902826;0,59522;0,04687923;-0,7792998;0,05876732;0,5916735;-0,007058233;-0,804002;-0,01785399;0,5770121;-0,04927275;-0,8150525;0,08917773;0,04706998;0,03819766;0,03235958;0,03286998;0,05509708;0,06881969;stop
0,6992576;-0,517039;-0,1414855;-0,4729604;0,1602032;0,5599136;0,133823;-0,8018248;0,1892851;0,5990027;0,05456269;-0,7761381;0,05799953;0,5963805;-0,000649184;-0,8006036;-0,0183178;0,5820251;-0,04363441;-0,8117927;0,08918697;0,04708996;0,03812475;0,03232269;0,03289286;0,05513226;0,06874948;stop
0,6995856;-0,5142019;-0,1323899;-0,4781732;0,1619951;0,5678307;0,1351488;-0,7956513;0,1921618;0,6060396;0,05706674;-0,7697621;0,06144327;0,6042767;-0,0003934205;-0,7944019;-0,01509485;0,5901284;-0,04363564;-0,8059881;0,08920945;0,04711915;0,03807591;0,03241237;0,03297083;0,05514424;0,06864457;stop
0,6996892;-0,5113686;-0,1227606;-0,4835981;0,1639026;0,5756657;0,137291;-0,789238;0,1953433;0,6129258;0,06008312;-0,7632517;0,06508333;0,6120982;0,000490576;-0,7880988;-0,01176311;0,5981726;-0,0426304;-0,8001461;0,08921915;0,04714048;0,03803589;0,03248552;0,03301943;0,05517195;0,06854767;stop
0,7000258;-0,5107133;-0,1234553;-0,4836266;0,1628547;0,5750611;0,1371968;-0,7899116;0,1938812;0,6125871;0,05997524;-0,7639048;0,06419663;0,6112369;-2,563E-05;-0,7888399;-0,01320742;0,5973154;-0,04267934;-0,8007613;0,08921455;0,04714043;0,03798512;0,03246581;0,03297529;0,05522752;0,06854189;stop
0,7002519;-0,5099528;-0,1229607;-0,4842274;0,1621446;0,5751418;0,137798;-0,7898941;0,1929785;0,6128146;0,06046861;-0,7639117;0,06381309;0,6110961;-2,035499E-05;-0,78898;-0,01416963;0,5972082;-0,0420464;-0,8008583;0,08920607;0,047139;0,03794112;0,03244492;0,0329232;0,05529002;0,06853553;stop
0,6996616;-0,5110348;-0,1266086;-0,4829984;0,1604631;0,5714048;0,1384948;-0,7928227;0,1908971;0,6093363;0,06081024;-0,7671832;0,06207766;0,6071569;-9,49204E-05;-0,7921537;-0,01655881;0,593276;-0,04150391;-0,803758;0,08918805;0,04706705;0,03784302;0,03241225;0,03287733;0,05544006;0,06848426;stop
0,6990471;-0,5119513;-0,1292187;-0,4822261;0,1590449;0,5683602;0,1396813;-0,7950854;0,1892207;0,6064656;0,06160724;-0,7698052;0,0607552;0,6039242;0,0001658797;-0,7947228;-0,01851548;0,5900772;-0,04059538;-0,8061132;0,08916856;0,04699248;0,03774663;0,03237843;0,03282874;0,05559693;0,06843176;stop
0,6984168;-0,5127476;-0,1310246;-0,481805;0,1578356;0,5658553;0,1412463;-0,7968345;0,187856;0,6040718;0,06276101;-0,7719252;0,05975652;0,6012425;0,0006869733;-0,796829;-0,02013102;0,5874509;-0,03941309;-0,808049;0,08914519;0,04691571;0,03765017;0,03234176;0,03277536;0,0557563;0,0683782;stop
0,6977801;-0,5134529;-0,1321994;-0,4816561;0,1567978;0,5637843;0,1430934;-0,7981768;0,1867397;0,6020646;0,06418458;-0,7736453;0,05901662;0,5990039;0,001405954;-0,7985672;-0,0214697;0,5852845;-0,03803247;-0,809651;0,0891213;0,04683841;0,03755491;0,03230582;0,03272144;0,05591812;0,0683241;stop
