T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,4172361;-0,2095467;-0,6710463;-0,5759352;-0,3792091;0,4435089;0,1217425;-0,8029192;-0,375039;0,5326238;0,1040365;-0,7515544;-0,4862427;0,545095;0,04105762;-0,6817285;-0,5628825;0,5667163;-0,009007514;-0,6015937;0,09086382;0,04568318;0,04097774;0,03786259;0,03640641;0,04598457;0,07331638;nothing
0,4172361;-0,2095467;-0,6710463;-0,5759352;-0,3792091;0,4435089;0,1217425;-0,8029192;-0,375039;0,5326238;0,1040365;-0,7515544;-0,4862427;0,545095;0,04105762;-0,6817285;-0,5628825;0,5667163;-0,009007514;-0,6015937;0,09086382;0,04568318;0,04097774;0,03786259;0,03640641;0,04598457;0,07331638;nothing
0,441852;-0,2708008;-0,7227968;-0,4571637;-0,3029945;0,4845366;0,04917216;-0,8191464;-0,2759255;0,5826813;0,003446162;-0,7644187;-0,4069182;0,5847803;-0,02754189;-0,7012068;-0,4643136;0,6272569;-0,1002785;-0,6171759;0,09191974;0,04924755;0,04825906;0,04345791;0,04222394;0,04356619;0,07591478;nothing
0,4505777;-0,3225241;-0,7503163;-0,360532;-0,2385161;0,507567;-0,008004993;-0,8279021;-0,1939908;0,6064083;-0,07704119;-0,7672688;-0,341059;0,6060131;-0,08243746;-0,7138845;-0,3814253;0,6597745;-0,1732844;-0,623847;0,09297968;0,05253782;0,05507645;0,04810132;0,04759306;0,04413491;0,0795873;nothing
0,449731;-0,3603262;-0,7612115;-0,2974299;-0,1918671;0,5171362;-0,04450576;-0,8329325;-0,1369306;0,6129835;-0,1293868;-0,767307;-0,2940324;0,6141477;-0,1183664;-0,7227427;-0,323444;0,6725682;-0,2210173;-0,6278433;0,09347474;0,05466064;0,05960613;0,05104332;0,05116263;0,04563035;0,08253501;nothing
0,4453233;-0,3876548;-0,7646246;-0,2583804;-0,1588043;0,5199077;-0,06664692;-0,8366812;-0,09816909;0,6121829;-0,1618285;-0,7677282;-0,2610159;0,6159612;-0,1408543;-0,7298101;-0,2842645;0,6760154;-0,2508877;-0,6318641;0,09372985;0,05595133;0,06237988;0,05282925;0,05336471;0,04698568;0,0845804;nothing
0,433287;-0,45139;-0,7398615;-0,2472139;-0,1357368;0,4982629;-0,0478079;-0,8549996;-0,1002515;0,5912266;-0,120103;-0,7911865;-0,2496937;0,5950185;-0,1232026;-0,7539412;-0,2957453;0,6427662;-0,2182784;-0,672117;0,09374735;0,05389702;0,05692635;0,04978288;0,04878353;0,0469249;0,08333478;nothing
0,4266099;-0,4941501;-0,7177951;-0,2420541;-0,1130559;0,4846062;-0,0391428;-0,8665121;-0,09271435;0,5778783;-0,09846419;-0,8048389;-0,2357607;0,5811439;-0,114334;-0,7704653;-0,2941469;0,6208582;-0,20038;-0,6984704;0,09417246;0,05307315;0,05435622;0,04829204;0,04649571;0,0470437;0,08292692;nothing
0,4523884;-0,4776739;-0,6846914;-0,3136401;-0,09480074;0,491778;-0,0566338;-0,8636897;-0,08001349;0,5785073;-0,1078904;-0,8045413;-0,1956044;0,5889202;-0,1718615;-0,7650983;-0,2475592;0,6270902;-0,2728212;-0,6863241;0,09325006;0,05306333;0,05372115;0,05162919;0,05056228;0,04408076;0,07577229;nothing
0,4710031;-0,4695048;-0,6583612;-0,3525371;-0,07878859;0,4973637;-0,07199994;-0,8609518;-0,06791404;0,5795182;-0,1177985;-0,8035361;-0,1646222;0,5922828;-0,2140777;-0,7591255;-0,2128166;0,6276512;-0,3237485;-0,6752407;0,09244921;0,05308094;0,05333471;0,05393831;0,05317293;0,04241417;0,07089373;nothing
0,4850451;-0,4643487;-0,6387413;-0,3756611;-0,06646785;0,5014496;-0,08363393;-0,8585659;-0,05820024;0,5805044;-0,1259774;-0,8023448;-0,1429488;0,5933625;-0,2424397;-0,7541286;-0,1900313;0,6259514;-0,3556936;-0,6674992;0,09184389;0,05309932;0,05308644;0,05538607;0,0546435;0,04139724;0,06769744;nothing
0,4955478;-0,4611331;-0,624414;-0,3897386;-0,05707151;0,5044549;-0,09234942;-0,8565862;-0,05051345;0,5813891;-0,1325905;-0,8011584;-0,1278094;0,5935205;-0,2615266;-0,7503348;-0,1750914;0,6238537;-0,3758138;-0,6625056;0,09141018;0,05311065;0,05292417;0,05627784;0,05545231;0,04075763;0,06562181;nothing
0,5018808;-0,4656848;-0,6306163;-0,3654811;-0,05458278;0,5017425;-0,1030005;-0,8571268;-0,04333452;0,5831106;-0,1565352;-0,7959908;-0,1329762;0,592949;-0,264823;-0,7487309;-0,2023707;0,6180141;-0,3448359;-0,6768997;0,08966749;0,05204515;0,0527613;0,05426012;0,0511408;0,03987676;0,06741095;nothing
0,5071887;-0,4686342;-0,6340573;-0,3480127;-0,0523588;0,499997;-0,1118719;-0,8571734;-0,03849162;0,5841065;-0,1737819;-0,7919203;-0,135892;0,5923802;-0,2693059;-0,7470563;-0,2173929;0,6133425;-0,3300146;-0,6838432;0,08993882;0,0521884;0,05347332;0,05386226;0,04942486;0,03996532;0,0694579;nothing
0,5114855;-0,470645;-0,635994;-0,335243;-0,05055539;0,498814;-0,1189293;-0,8570209;-0,03524739;0,5846838;-0,1862325;-0,7888092;-0,1375573;0,5918561;-0,2738232;-0,7455235;-0,2263256;0,6098432;-0,3227665;-0,6875246;0,09012347;0,05228147;0,05393064;0,05362269;0,04837872;0,04005662;0,07076873;nothing
0,5149405;-0,4719913;-0,6370474;-0,3259316;-0,04916934;0,4980222;-0,1244312;-0,8567807;-0,03307684;0,5850196;-0,1952545;-0,7864695;-0,1385041;0,5913939;-0,277902;-0,7442045;-0,2319024;0,6072503;-0,3192868;-0,6895831;0,09024895;0,05233836;0,05422192;0,05347592;0,04771197;0,04013658;0,07162736;nothing
0,5048589;-0,4769934;-0,642623;-0,3234665;0,06046151;0,5027953;-0,3212657;-0,800206;0,04585314;0,5905207;-0,3437307;-0,7287199;-0,06359224;0,5955936;-0,4008069;-0,6932374;-0,1457542;0,6187699;-0,4464206;-0,6297528;0,08981223;0,06459322;0,0664203;0,06357644;0,05704945;0,03135876;0,06668124;nothing
0,497827;-0,4801017;-0,6466465;-0,3217443;0,1289042;0,4935437;-0,4380994;-0,7401807;0,09512734;0,5850136;-0,4326424;-0,6793604;-0,0173106;0,5916284;-0,4730399;-0,6526175;-0,0884087;0,6180528;-0,5234088;-0,5798604;0,09018039;0,07365911;0,07463583;0,07007361;0,06349979;0,02607699;0,0645901;nothing
0,4769289;-0,5084886;-0,6465669;-0,3097248;0,3548181;0,3850985;-0,7363501;-0,4284762;0,1308511;0,5789392;-0,472347;-0,6516101;0,01057547;0,5897658;-0,4948744;-0,6380937;-0,07043274;0,6155412;-0,5328975;-0,576341;0,09160495;0,1037966;0,07898352;0,07292508;0,06456772;0,03076203;0,06548858;nothing
0,4625953;-0,5270478;-0,6453635;-0,3028737;0,4387799;0,2922389;-0,8178182;-0,2307431;0,1531837;0,5738195;-0,4942317;-0,6348236;0,02901227;0,5877073;-0,5077784;-0,6292214;-0,05837422;0,613583;-0,5381814;-0,5748647;0,09245105;0,1150849;0,08141702;0,07457276;0,06513262;0,04376997;0,06599859;nothing
0,4532926;-0,5390742;-0,6436318;-0,2994387;0,4695945;0,2421437;-0,8380107;-0,1363286;0,1672727;0,5701649;-0,5060933;-0,6251413;0,04112061;0,5860275;-0,5150502;-0,6241829;-0,05006943;0,6121435;-0,5410988;-0,5744438;0,09297137;0,1190215;0,08276655;0,0755062;0,0654442;0,05059002;0,06628476;nothing
0,4474298;-0,5469075;-0,6417969;-0,2979857;0,4824734;0,2173164;-0,8433083;-0,09393904;0,1763638;0,567697;-0,5124725;-0,6196676;0,04918726;0,5847855;-0,5190549;-0,6214406;-0,04420903;0,6111113;-0,5427018;-0,5745116;0,09328997;0,1205045;0,08351223;0,07602853;0,06561618;0,0537991;0,06643864;nothing
0,4406002;-0,5560866;-0,6295891;-0,3166338;0,4537463;0,2607907;-0,8258759;-0,2098373;0,2081619;0,5464798;-0,5566103;-0,5900963;0,06661899;0,5750008;-0,5388953;-0,6119871;-0,0291773;0,6073157;-0,5555896;-0,5671305;0,09365533;0,1161896;0,0876528;0,07772641;0,06682688;0,04306219;0,06366128;nothing
0,4356609;-0,5629082;-0,6208737;-0,3284052;0,4377913;0,2760768;-0,8136486;-0,2647573;0,2263068;0,5312853;-0,5817956;-0,5727433;0,07755506;0,5674455;-0,5511665;-0,6068;-0,01935794;0,6037633;-0,5639192;-0,5631076;0,09378902;0,1136207;0,08989204;0,07865269;0,06749768;0,03748384;0,06170154;nothing
0,4321213;-0,5680938;-0,6147871;-0,3355258;0,4289458;0,2810754;-0,8067997;-0,2933878;0,2367694;0,5207627;-0,5963569;-0,563121;0,08453145;0,5616933;-0,5588529;-0,6041845;-0,01293782;0,6006894;-0,5692973;-0,5611646;0,09387819;0,1121977;0,09113862;0,07920302;0,06790532;0,03438799;0,06042302;nothing
0,4295706;-0,572113;-0,6105442;-0,3396936;0,4238335;0,2820773;-0,8031306;-0,3094816;0,2429652;0,5134355;-0,6049963;-0,5579708;0,08909587;0,5572985;-0,5637665;-0,6030322;-0,0086767;0,598118;-0,5728135;-0,5604149;0,09393709;0,1113837;0,09183725;0,07953132;0,06815296;0,03257433;0,05960138;nothing
0,4363458;-0,5704351;-0,6106095;-0,3337096;0,3984171;0,3216951;-0,765538;-0,3895226;0,2212728;0,529379;-0,5661002;-0,5918844;0,07619853;0,5626416;-0,5433196;-0,6184113;-0,02249397;0,6010724;-0,5561392;-0,5735114;0,09485827;0,1075766;0,08838648;0,07795804;0,06699533;0,02865092;0,06202543;nothing
0,4412045;-0,5694547;-0,6101009;-0,3299041;0,384523;0,3417842;-0,7425197;-0,428941;0,2092679;0,5381811;-0,5432303;-0,6094826;0,06918073;0,5658205;-0,5312939;-0,6267282;-0,03014436;0,6027948;-0,5464344;-0,580637;0,09480759;0,1047321;0,08582888;0,07651499;0,06587013;0,02702859;0,06313404;nothing
0,4468145;-0,5650591;-0,6108075;-0,3286024;0,3683372;0,3610134;-0,719188;-0,4655809;0,1958035;0,5463;-0,5213363;-0,6256405;0,05847791;0,5700095;-0,5164126;-0,6363865;-0,03973633;0,6051258;-0,535216;-0,588037;0,09459493;0,1020264;0,08357341;0,07500985;0,06481928;0,02551048;0,06385626;nothing
0,4502355;-0,5631124;-0,6106992;-0,3274739;0,3606257;0,3704576;-0,7067114;-0,4829799;0,1892217;0,5506075;-0,5096288;-0,6334866;0,05361317;0,5721525;-0,5089596;-0,6408802;-0,04436947;0,6063175;-0,5294776;-0,5916622;0,09449886;0,1006151;0,08234886;0,07421072;0,06423355;0,02501803;0,06432135;nothing
0,4456866;-0,5701282;-0,6081366;-0,3263238;0,3648044;0,3630124;-0,7141906;-0,474417;0,2020264;0,5417039;-0,5297284;-0,6205885;0,07306135;0,5639982;-0,5358076;-0,624082;-0,03303521;0,6022838;-0,5439368;-0,5833488;0,09682867;0,1030798;0,08559946;0,07795158;0,06641687;0,02597106;0,06540663;nothing
0,4416261;-0,5773081;-0,6051519;-0,3247663;0,3706234;0,3538491;-0,7233247;-0,4628506;0,2144241;0,5325155;-0,5487095;-0,6077561;0,09074581;0,5553916;-0,5597019;-0,6083087;-0,0219655;0,5977679;-0,5577476;-0,5754207;0,09721562;0,1037346;0,08710872;0,07994328;0,06726113;0,02669685;0,06520604;nothing
0,4373559;-0,5848898;-0,6018357;-0,3231376;0,3780702;0,3426954;-0,7343647;-0,4475837;0,2274256;0,5224515;-0,568347;-0,593552;0,1083731;0,5459271;-0,5831251;-0,5917635;-0,01031852;0,5927702;-0,5719755;-0,5668873;0,09760698;0,1046417;0,08871983;0,08192624;0,06815726;0,02776454;0,06499112;nothing
0,4329515;-0,5927087;-0,5982438;-0,3214872;0,3863962;0,330061;-0,7464083;-0,429689;0,240683;0,5115905;-0,5882031;-0,5782424;0,125782;0,5356539;-0,6059496;-0,5745249;0,001671687;0,5873192;-0,5863901;-0,5578533;0,09799746;0,1057056;0,09038902;0,08388779;0,06908423;0,02914264;0,06477729;nothing
0,4283377;-0,6003245;-0,5947119;-0,3200863;0,3949071;0,3167176;-0,7586579;-0,4100935;0,2536728;0,500351;-0,6076919;-0,5621475;0,1425854;0,5249743;-0,6278079;-0,5567126;0,01356958;0,5817752;-0,6005281;-0,5483792;0,09838554;0,1068594;0,09208538;0,08581909;0,07002921;0,03078963;0,06457569;nothing
0,4307048;-0,6008348;-0,5912992;-0,3222675;0,3922776;0,3239298;-0,7465302;-0,428813;0,2528346;0,5032173;-0,5973538;-0,5709779;0,1387879;0,5277928;-0,6158113;-0,5682864;0,01918774;0,5805201;-0,6018718;-0,5480683;0,09828737;0,1056587;0,09115476;0,08461305;0,07019265;0,02925998;0,06451907;nothing
0,431559;-0,6025665;-0,5877761;-0,3243304;0,3924492;0,3268681;-0,7391637;-0,4390651;0,2551428;0,5034904;-0,5926903;-0,574559;0,1396188;0,5281591;-0,6103386;-0,5736215;0,02611643;0,5787104;-0,6050406;-0,5462033;0,09822921;0,1049355;0,09074315;0,08403984;0,07045465;0,02845989;0,0644045;nothing
0,4255766;-0,6065446;-0,5859659;-0,3280735;0,3977969;0,3230187;-0,7413135;-0,4334408;0,2682343;0,4957412;-0,6073871;-0,5597964;0,1518719;0,5232184;-0,6214195;-0,5630414;0,04072481;0,5759205;-0,6173393;-0,5343681;0,09840023;0,1052789;0,0924178;0,0852688;0,07163978;0,02917703;0,06411675;nothing
0,4189112;-0,6110631;-0,5840545;-0,3316561;0,4043027;0,3171691;-0,7455748;-0,4243368;0,2823445;0,4862922;-0,6239911;-0,5426203;0,165702;0,5168036;-0,634817;-0,5499678;0,05598796;0,5723425;-0,6303895;-0,521439;0,09871534;0,1059531;0,09439007;0,08682033;0,07296795;0,03024912;0,06395376;nothing
0,4118222;-0,6158919;-0,5820719;-0,3350707;0,4114672;0,3098653;-0,751166;-0,4128294;0,2968614;0,4754703;-0,6414996;-0,5237175;0,1803764;0,5091676;-0,6495014;-0,5351269;0,07154178;0,5680417;-0,6437519;-0,5077343;0,09905687;0,1067714;0,09647467;0,08851185;0,07433147;0,03159164;0,06386703;nothing
0,4044358;-0,6209034;-0,5800269;-0,3383482;0,4189844;0,3014515;-0,7575645;-0,3995942;0,3114596;0,463461;-0,6593379;-0,5034584;0,1954881;0,5004584;-0,6648593;-0,5189298;0,08724153;0,5630527;-0,6572143;-0,4933867;0,09941418;0,1076776;0,09861542;0,09028461;0,07571466;0,03316327;0,06386923;nothing
0,4009874;-0,62779;-0,5729175;-0,3418398;0,4250818;0,2962674;-0,7545302;-0,4027599;0,3213947;0,4557616;-0,6611347;-0,5018844;0,2133557;0,489319;-0,676927;-0,5067704;0,1162678;0,5509086;-0,6800859;-0,4695368;0,09904631;0,1068683;0,09828171;0,09113163;0,07752448;0,03272666;0,06351818;nothing
0,3970017;-0,6346371;-0,5659924;-0,345367;0,4317526;0,2899707;-0,7528931;-0,40331;0,3323264;0,4466861;-0,6652809;-0,4974254;0,2311036;0,4772372;-0,689489;-0,4933972;0,1434966;0,5377492;-0,7009929;-0,4459188;0,09926913;0,1068391;0,09879203;0,09257068;0,07963179;0,0327471;0,06373297;nothing
0,3926234;-0,6414388;-0,5591577;-0,3489212;0,4387578;0,282877;-0,7521557;-0,402162;0,3437907;0,4365521;-0,6708662;-0,4910895;0,2486458;0,4642291;-0,7022693;-0,4790457;0,1693778;0,5235277;-0,7203854;-0,422226;0,09950828;0,1069175;0,09947811;0,0940567;0,08164275;0,03294525;0,06414338;nothing
0,390748;-0,6461727;-0,553121;-0,3519008;0,447262;0,2762927;-0,7523351;-0,3970029;0,3570609;0,4264736;-0,6791248;-0,4789751;0,2655294;0,4527911;-0,7137511;-0,4637175;0,1898255;0,5126841;-0,7331921;-0,4044136;0,09947997;0,1070581;0,1004728;0,09532297;0,08292148;0,03347872;0,06458674;nothing
0,3884218;-0,6509777;-0,5471199;-0,3549884;0,455654;0,2692711;-0,7527938;-0,3913744;0,3701041;0,415691;-0,6874743;-0,4664796;0,2821151;0,4405007;-0,7251291;-0,4478372;0,2100801;0,5008013;-0,7458147;-0,3857783;0,09963073;0,107396;0,1016422;0,09675243;0,08434618;0,0341261;0,0652446;nothing
0,3857694;-0,6558296;-0,5411059;-0,3581535;0,4639605;0,2618561;-0,7534248;-0,3853869;0,3829346;0,4042367;-0,6958201;-0,453639;0,2984058;0,4273635;-0,7363211;-0,4314461;0,2301134;0,4878739;-0,758141;-0,3664005;0,0997954;0,1077519;0,1028221;0,09818865;0,08577675;0,03482199;0,06602434;nothing
0,3845868;-0,6607502;-0,5349532;-0,3596216;0,469176;0,253285;-0,7548469;-0,3820041;0,3907731;0,3964064;-0,7000246;-0,4473525;0,3057537;0,4208488;-0,739122;-0,4279017;0,237602;0,4826287;-0,7603558;-0,3639703;0,09974871;0,1078573;0,1031518;0,09829977;0,08587752;0,03509934;0,06587996;nothing
0,3830512;-0,665688;-0,5288504;-0,3611769;0,4745113;0,2445293;-0,7563841;-0,3780577;0,3990613;0,3875975;-0,7050521;-0,4397954;0,3142103;0,4129354;-0,7433782;-0,4220725;0,2468931;0,4757077;-0,7643944;-0,3583959;0,09983665;0,1081176;0,1037213;0,09872983;0,08629789;0,0354992;0,06596969;nothing
0,3812644;-0,6706413;-0,5227326;-0,3628065;0,4799118;0,2355812;-0,7579691;-0,3737234;0,4075783;0,3780509;-0,7105216;-0,4314123;0,3232992;0,40401;-0,7484688;-0,4147869;0,2572306;0,4676041;-0,7694683;-0,3508527;0,0999354;0,1083943;0,1043619;0,09927971;0,08684816;0,03595846;0,06616703;nothing
0,3793194;-0,6755367;-0,5166459;-0,364478;0,4852655;0,2265618;-0,7595388;-0,3691724;0,4160757;0,3680456;-0,7161383;-0,4225747;0,332609;0,3944331;-0,7539507;-0,4066355;0,2680233;0,4587236;-0,7750369;-0,3421316;0,1000421;0,1086809;0,1050383;0,09989893;0,08747202;0,03645757;0,06644163;nothing
0,3772488;-0,680363;-0,5105865;-0,3661847;0,490539;0,2174718;-0,7610857;-0,3644531;0,4244767;0,357666;-0,7218047;-0,4133918;0,341972;0,3843475;-0,7596265;-0,3978688;0,2790155;0,449244;-0,7808414;-0,3325917;0,1001531;0,1089725;0,1057353;0,1005595;0,08813982;0,03698959;0,06677918;nothing
