T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
-0,1247917;-0,3312922;-0,5205325;-0,7769932;0,2266971;0,4876298;-0,0824545;-0,8390633;-0,134221;0,5675505;0,5077323;-0,6340972;-0,2788583;0,6103165;0,524802;-0,5237697;-0,2848851;0,6914643;0,4306151;-0,5052608;0,1047709;0,1014721;0,05100517;0,03931591;0,04040239;0,007415061;0,07922471;down
-0,1298355;-0,3274757;-0,5256546;-0,7743319;0,2154951;0,4924348;-0,07062951;-0,8402866;-0,1398987;0,564902;0,5104663;-0,6330389;-0,282431;0,6078411;0,5256081;-0,5239258;-0,2900822;0,6875181;0,4339037;-0,5048751;0,1045298;0,1002878;0,05069884;0,03922275;0,0401124;0,007563723;0,07929253;down
-0,127901;-0,3255991;-0,5355656;-0,7686328;0,2203001;0,4964337;-0,079335;-0,8358992;-0,1394566;0,5704975;0,5015503;-0,6352416;-0,2814161;0,6129199;0,5151971;-0,5288727;-0,292242;0,6907502;0,4271411;-0,5049847;0,1047997;0,1004325;0,05091957;0,03960027;0,04005449;0,007501795;0,07965941;down
-0,1313404;-0,3293287;-0,5359724;-0,7661762;0,2300631;0,4913408;-0,07897371;-0,8363124;-0,1305855;0,5727377;0,5041208;-0,6330727;-0,2696808;0,6171482;0,5134646;-0,5317466;-0,2819153;0,6935946;0,425951;-0,5079529;0,1055797;0,1009957;0,05100629;0,04009859;0,04040915;0,008238078;0,08038721;down
-0,1413221;-0,31986;-0,5393783;-0,7660217;0,1946455;0,4971445;-0,08234021;-0,8415349;-0,173021;0,5300124;0,5165809;-0,6498421;-0,3124279;0,5720102;0,5321428;-0,5403864;-0,3540809;0,6392508;0,4603721;-0,5040265;0,1060886;0,09999226;0,04864709;0,03797229;0,03838808;0,007782806;0,08268775;down
-0,161839;-0,337986;-0,5433906;-0,7511994;0,216606;0,4653277;-0,1308913;-0,8481861;-0,1541509;0,5202558;0,5160165;-0,6627958;-0,292758;0,5656349;0,5348654;-0,5552198;-0,3296299;0,6365264;0,4606838;-0,5234014;0,1062164;0,1034644;0,04946752;0,03864724;0,03894512;0,006091441;0,08208565;down
-0,2019279;-0,3453396;-0,5698367;-0,7178105;0,3630438;0,3414327;-0,5036752;-0,7056445;-0,1463941;0,4975092;0,4967431;-0,6959164;-0,2969694;0,5340931;0,5476958;-0,5714747;-0,3289331;0,6094002;0,4689531;-0,5481951;0,10631;0,1278594;0,05314735;0,03941838;0,04010654;0,04637745;0,08115445;down
-0,2132211;-0,3741757;-0,5482031;-0,7169396;0,3966043;0,2433659;-0,6924651;-0,551335;-0,1163331;0,483362;0,4532453;-0,7398626;-0,280224;0,5167168;0,5410357;-0,6014639;-0,3121481;0,5922799;0,4611168;-0,5823568;0,105339;0,1351006;0,0573873;0,04080949;0,04131515;0,0665407;0,07784708;down
-0,2203728;-0,3760256;-0,5392461;-0,7205932;0,358272;0,278758;-0,6163769;-0,64344;-0,1228739;0,4707858;0,4772061;-0,7318041;-0,2773716;0,5079785;0,5515925;-0,6006402;-0,3115028;0,584994;0,4745646;-0,5792551;0,1050787;0,1320081;0,05589015;0,0408503;0,04111966;0,05458327;0,07767708;down
-0,2174264;-0,3889485;-0,5297505;-0,7216712;0,3408897;0,2852361;-0,5793933;-0,6831825;-0,1221042;0,4605917;0,49123;-0,7291358;-0,2716202;0,5016332;0,5559766;-0,6045467;-0,3051442;0,5796275;0,4754671;-0,5872395;0,1047685;0,1297518;0,05428223;0,04037822;0,04105183;0,04744096;0,07730896;down
